q,chkexact,chkaop,chkbl,chkall
1,0.0114736495731,0.0114736495731,0.0114736495731,0.0114736495731
100,0.0550345508391,0.0552120676815,0.0551904192861,0.0561949048337
200,0.0712232209349,0.0715089797544,0.0715739249407,0.0729464332104
300,0.0824630678374,0.0829609809321,0.0830908713046,0.084653885454
400,0.0916852842867,0.0922741206422,0.0924343187683,0.0941358826484
500,0.0994700472801,0.100197433366,0.10041391732,0.102180426387
600,0.106258984084,0.107185535408,0.107449645832,0.109276770406
700,0.112207963146,0.113350998424,0.113662735318,0.115511508287
800,0.117641710396,0.118910306368,0.119252351016,0.121157409813
900,0.122625171022,0.124066954157,0.124447965917,0.126353024714
1000,0.12731421347,0.12882960115,0.129232261305,0.13114597946
1100,0.131643892555,0.133306489323,0.133735127552,0.135679153461
1200,0.135713790894,0.137601530975,0.138064806637,0.140008832545
1300,0.13961050207,0.14149824215,0.141983166208,0.143927192117
1400,0.143217124747,0.14533000814,0.145853899309,0.147784936181
1500,0.146680868014,0.148793751407,0.149317642576,0.151248679448
1600,0.150023380267,0.152257494674,0.152781385844,0.154712422715
1700,0.153054155626,0.155426819764,0.15601565612,0.157933703954
1800,0.156084930985,0.158457595123,0.159046431478,0.160964479313
1900,0.159115706344,0.161488370482,0.162077206837,0.163995254672
2000,0.161713513794,0.16442822258,0.165060355726,0.166948095807
2100,0.164311321245,0.167026030031,0.167658163177,0.169545903258
2200,0.166909128695,0.169623837481,0.170255970627,0.172143710708
2300,0.169506936146,0.172221644932,0.172853778078,0.174741518159
2400,0.171728061516,0.174819452382,0.175451585528,0.177339325609
2500,0.173892901058,0.177044907431,0.177720337369,0.179582099375
2600,0.1760577406,0.179209746974,0.179885176911,0.181746938917
2700,0.178222580142,0.181374586516,0.182050016453,0.183911778459
2800,0.180387419684,0.183539426058,0.184214855995,0.186076618001
2900,0.182552259227,0.1857042656,0.186379695537,0.188241457543
3000,0.184717098769,0.187869105142,0.188544535079,0.190406297085
3100,0.186682773073,0.190033944684,0.190709374621,0.192571136627
3200,0.188414644707,0.192151157756,0.192822258014,0.194649382588
3300,0.19014651634,0.19388302939,0.194554129648,0.196381254221
3400,0.191878387974,0.195614901024,0.196286001282,0.198113125855
3500,0.193610259608,0.197346772657,0.198017872915,0.199844997489
3600,0.195342131241,0.199078644291,0.199749744549,0.201576869122
3700,0.197074002875,0.200810515925,0.201481616183,0.203308740756
3800,0.198805874509,0.202542387558,0.203213487816,0.20504061239
3900,0.200537746142,0.204274259192,0.20494535945,0.206772484023
4000,0.202269617776,0.206006130826,0.206677231084,0.208504355657
4100,0.20400148941,0.207738002459,0.208409102717,0.210236227291
4200,0.205733361043,0.209469874093,0.210140974351,0.211968098925
4300,0.207465232677,0.211201745727,0.211872845985,0.213699970558
