typogroup,security,typofix
up2cap,0.000696409973078,0.0014505893019
sws-last1,0.00358329352536,0.00344514959202
up2cap|sws-last1,0.00427970349844,0.00489573889393
rm-lasts,0.00980137520339,0.0130553037171
up2cap|rm-lasts,0.0104977851765,0.014505893019
sws-last1|rm-lasts,0.0133846687287,0.0165004533092
up2cap|sws-last1|rm-lasts,0.0140810787018,0.0179510426111
swc-first,0.0226411233409,0.0378966455122
up2cap|swc-first,0.0233375333139,0.0393472348141
up2cap|swc-first,0.0239977804132,0.0393472348141
up2cap|swc-first,0.0246941903863,0.0393472348141
sws-last1|swc-first,0.0262244168662,0.0413417951043
up2cap|sws-last1|swc-first,0.0269208268393,0.0427923844062
up2cap|sws-last1|swc-first,0.0275810739386,0.0427923844062
up2cap|sws-last1|swc-first,0.0282774839117,0.0427923844062
swc-first|rm-lasts,0.0324424985442,0.0509519492294
up2cap|swc-first|rm-lasts,0.0331389085173,0.0524025385313
up2cap|swc-first|rm-lasts,0.0337991556166,0.0524025385313
up2cap|swc-first|rm-lasts,0.0344955655897,0.0524025385313
sws-last1|swc-first|rm-lasts,0.0360257920696,0.0543970988214
up2cap|sws-last1|swc-first|rm-lasts,0.0367222020427,0.0558476881233
up2cap|sws-last1|swc-first|rm-lasts,0.037382449142,0.0558476881233
up2cap|sws-last1|swc-first|rm-lasts,0.0380788591151,0.0558476881233
swc-all,0.0425743952525,0.307887579329
swc-all|up2cap,0.0432708052256,0.309338168631
swc-all|sws-last1,0.0461576887779,0.311332728921
swc-all|sws-last1,0.0466389037541,0.311332728921
swc-all|up2cap|sws-last1,0.0468540987509,0.312783318223
swc-all|up2cap|sws-last1,0.0473353137272,0.312783318223
swc-all|up2cap|sws-last1,0.0502221972795,0.312783318223
swc-all|up2cap|sws-last1,0.0509186072525,0.312783318223
swc-all|rm-lasts,0.0523757704559,0.320942883046
swc-all|up2cap|rm-lasts,0.053072180429,0.322393472348
swc-all|up2cap|rm-lasts,0.0534221378573,0.322393472348
swc-all|up2cap|rm-lasts,0.0541185478304,0.322393472348
swc-all|sws-last1|rm-lasts,0.0559590639812,0.324388032638
swc-all|sws-last1|rm-lasts,0.0564402789575,0.324388032638
swc-all|up2cap|sws-last1|rm-lasts,0.0566554739543,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0570054313826,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0571366889306,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0577018413557,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0600235724828,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0607199824559,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0632235130607,0.32583862194
swc-all|up2cap|sws-last1|rm-lasts,0.0639199230337,0.32583862194
swc-all|swc-first,0.0652155185933,0.345784224841
swc-all|up2cap|swc-first,0.0659119285664,0.347234814143
swc-all|up2cap|swc-first,0.0665721756657,0.347234814143
swc-all|up2cap|swc-first,0.066806806586,0.347234814143
swc-all|up2cap|swc-first,0.0672685856388,0.347234814143
swc-all|up2cap|swc-first,0.0675032165591,0.347234814143
swc-all|sws-last1|swc-first,0.0687988121187,0.349229374433
swc-all|up2cap|sws-last1|swc-first,0.0694952220918,0.350679963735
swc-all|up2cap|sws-last1|swc-first,0.0701554691911,0.350679963735
swc-all|up2cap|sws-last1|swc-first,0.0708518791642,0.350679963735
swc-all|swc-first|rm-lasts,0.0750168937967,0.358839528558
swc-all|up2cap|swc-first|rm-lasts,0.0757133037698,0.36029011786
swc-all|up2cap|swc-first|rm-lasts,0.0760632611981,0.36029011786
swc-all|up2cap|swc-first|rm-lasts,0.0763735508691,0.36029011786
swc-all|up2cap|swc-first|rm-lasts,0.0767596711712,0.36029011786
swc-all|up2cap|swc-first|rm-lasts,0.0770699608422,0.36029011786
swc-all|up2cap|swc-first|rm-lasts,0.0774199182705,0.36029011786
swc-all|up2cap|swc-first|rm-lasts,0.0781163282436,0.36029011786
swc-all|sws-last1|swc-first|rm-lasts,0.0786001873221,0.36228467815
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.0792965972952,0.363735267452
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.0796465547235,0.363735267452
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.0799568443945,0.363735267452
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.0803429646966,0.363735267452
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.0806532543676,0.363735267452
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.0810032117959,0.363735267452
swc-all|up2cap|sws-last1|swc-first|rm-lasts,0.081699621769,0.363735267452
