q,chkexact,chkall,chkbl,chkaop
200,0.0600995602273,0.062425479184,0.061018755904,0.0600995602273
300,0.0711309992285,0.0740527317813,0.0724470189524,0.0711309992285
400,0.0798364871883,0.0832276515518,0.0815136527301,0.0798364871883
500,0.0870749646442,0.0908189327936,0.089057416474,0.0870749646442
600,0.093324590456,0.0974182822562,0.0955986283903,0.093324590456
700,0.0988470798364,0.103228700081,0.101380041611,0.0988470798364
800,0.103810620985,0.108471827642,0.106594966687,0.103810620985
900,0.108360686108,0.113273886302,0.111371036709,0.108360686108
1000,0.112568439154,0.117713066568,0.115785319217,0.112568439154
1100,0.116435644784,0.121808266351,0.119869995206,0.116549802284
1200,0.12001742458,0.125583292527,0.123634208825,0.120322742953
1300,0.123359820141,0.129105940149,0.12715104911,0.123852224624
1400,0.126491066037,0.132416828497,0.130456868069,0.127172706309
1500,0.129455439207,0.135542812496,0.133584327966,0.130308026966
1600,0.13225435138,0.13849258711,0.136533621309,0.13326829329
1700,0.134900379774,0.141285242759,0.139321977603,0.136075002055
1800,0.137416176214,0.143938586473,0.141975513826,0.138745318596
1900,0.139808285986,0.146453292032,0.144492914503,0.141277349914
2000,0.142087104547,0.148855219735,0.146897280645,0.143699041815
2100,0.144265241197,0.151140262734,0.149185981305,0.1460024052
2200,0.146347219886,0.15332629223,0.1513757968,0.148204444981
2300,0.148347382492,0.155432430728,0.153484277483,0.15032636917
2400,0.150276413232,0.15745931992,0.155512321727,0.152370904969
2500,0.152132739954,0.159408371537,0.157462785072,0.154337603192
2600,0.153915817218,0.161289884779,0.159346287568,0.156236987633
2700,0.155637644716,0.163101036189,0.161160198266,0.158065593141
2800,0.157298254532,0.164853312104,0.162915201383,0.159833783087
2900,0.158905571598,0.166547129625,0.164613446598,0.16154752523
3000,0.160459082557,0.168177804381,0.166249672014,0.163200274286
3100,0.161958209885,0.169750694522,0.167827695713,0.164792864457
3200,0.163406964172,0.171275200878,0.169358298169,0.166338642994
3300,0.164814970842,0.172758702937,0.170846099583,0.16783972749
3400,0.166189737722,0.174201457379,0.172293955498,0.169302631147
3500,0.167530526864,0.17560737854,0.173705716082,0.170728380677
3600,0.168834450642,0.176977172286,0.175080611302,0.172117970707
3700,0.170105487562,0.178312410768,0.176421625037,0.173473647168
3800,0.171346364828,0.179613254411,0.177728436441,0.174795442145
3900,0.172560355083,0.180883938399,0.179003612292,0.176085409061
