q,chkexact,chkbl,chkall,chkop
1,0.00183387534538,0.00183387534538,0.00195613370174,0.00183387534538
99,0.028437293689,0.0330342078881,0.0345991148495,0.0299777489791
199,0.0412744211067,0.0488788908722,0.0506883145463,0.044722106756
299,0.0510550896154,0.0612269848644,0.0632320219087,0.0564589089664
399,0.0589774311074,0.0710810083869,0.073159400445,0.0662395774751
499,0.0663129324889,0.0808616768956,0.0829400689537,0.0757757292711
599,0.0736484338705,0.0882460816197,0.090617893733,0.0831112306526
699,0.0806905151967,0.0955815830012,0.0979533951146,0.0904467320341
799,0.0855808494511,0.102917084383,0.105288896496,0.0977822334157
899,0.0904711837054,0.110252585764,0.112624397878,0.105117734797
999,0.0953615179598,0.117588087146,0.119959899259,0.112453236179
1099,0.100251852214,0.123798811649,0.126415140475,0.118492798983
1199,0.105142186468,0.128689145903,0.131305474729,0.123383133237
1299,0.110032520723,0.133579480157,0.136195808984,0.128273467492
1399,0.114922854977,0.138469814412,0.141086143238,0.133163801746
1499,0.119813189231,0.143360148666,0.145976477492,0.138054136
1599,0.124703523486,0.148250482921,0.150866811747,0.142944470255
1699,0.12959385774,0.153140817175,0.155757146001,0.147834804509
1799,0.134484191995,0.158031151429,0.160647480255,0.152725138763
1899,0.139374526249,0.162921485684,0.16553781451,0.157615473018
1999,0.144264860503,0.167811819938,0.170428148764,0.162505807272
2099,0.149155194758,0.172702154192,0.175318483018,0.167396141526
2199,0.154045529012,0.177592488447,0.180208817273,0.172286475781
2299,0.158935863266,0.182482822701,0.185099151527,0.177176810035
2399,0.163703939164,0.187373156955,0.189989485781,0.182067144289
2499,0.166149106291,0.19226349121,0.194879820036,0.186957478544
2599,0.168594273419,0.197153825464,0.19977015429,0.191847812798
2699,0.171039440546,0.202044159718,0.204660488544,0.196738147052
2799,0.173484607673,0.206934493973,0.209550822799,0.201628481307
2899,0.1759297748,0.211824828227,0.214441157053,0.206518815561
2999,0.178374941927,0.216715162481,0.219331491307,0.211409149815
3099,0.180820109054,0.221605496736,0.224221825562,0.21629948407
3199,0.183265276182,0.22649583099,0.229112159816,0.221189818324
3299,0.185710443309,0.231386165244,0.23400249407,0.225517764139
3399,0.188155610436,0.234784947551,0.237523534734,0.227962931266
3499,0.190600777563,0.237230114678,0.239968701861,0.230408098394
3599,0.19304594469,0.239675281805,0.242413868988,0.232853265521
3699,0.195491111818,0.242120448933,0.244859036115,0.235298432648
3799,0.197936278945,0.24456561606,0.247304203242,0.237743599775
3899,0.200381446072,0.247010783187,0.249749370369,0.240188766902
3999,0.202826613199,0.249455950314,0.252194537497,0.242633934029
4099,0.205271780326,0.251901117441,0.254639704624,0.245079101157
4199,0.207716947453,0.254346284569,0.257084871751,0.247524268284
4299,0.210162114581,0.256791451696,0.259530038878,0.249969435411
4399,0.212607281708,0.259236618823,0.261975206005,0.252414602538
4499,0.215052448835,0.26168178595,0.264420373132,0.254859769665
4599,0.217497615962,0.264126953077,0.26686554026,0.257304936792
4699,0.219942783089,0.266572120204,0.269310707387,0.25975010392
4799,0.222387950216,0.269017287332,0.271755874514,0.262195271047
4899,0.224833117344,0.271462454459,0.274201041641,0.264640438174
4999,0.227278284471,0.273907621586,0.276646208768,0.267085605301
5099,0.229723451598,0.276352788713,0.279091375896,0.269530772428
5199,0.232168618725,0.27879795584,0.281536543023,0.271975939555
5299,0.234613785852,0.281243122967,0.28398171015,0.274421106683
5399,0.237058952979,0.283688290095,0.286426877277,0.27686627381
5499,0.239504120107,0.286133457222,0.288872044404,0.279311440937
5599,0.241949287234,0.288578624349,0.291317211531,0.281756608064
5699,0.244394454361,0.291023791476,0.293762378659,0.284201775191
5799,0.246839621488,0.293468958603,0.296207545786,0.286646942319
5899,0.249284788615,0.295914125731,0.298652712913,0.289092109446
5999,0.251729955743,0.298359292858,0.30109788004,0.291537276573
6099,0.25417512287,0.300804459985,0.303543047167,0.2939824437
6199,0.256620289997,0.303249627112,0.305988214294,0.296427610827
6299,0.259065457124,0.305694794239,0.308433381422,0.298872777954
