q,chkexact,chkall,chkbl,chkaop
1,0.00183387534538,0.0019072303592,0.00183387534538,0.00183387534538
100,0.0285840037167,0.0300755556642,0.0298310389515,0.0290974888134
200,0.0413722277918,0.0435239748637,0.0432550064797,0.0423258429714
300,0.0511528963005,0.0535980634276,0.0533046433724,0.0523265765215
400,0.0590507861212,0.0622784067291,0.0619849866738,0.0609824681517
500,0.0663862875028,0.0696139081106,0.0693204880554,0.0683179695332
600,0.0737217888843,0.0769494094921,0.0766559894369,0.0756534709147
700,0.0807394185393,0.0842849108737,0.0839914908184,0.0829889722963
800,0.0856297527936,0.0905689903905,0.0902266669927,0.089175245128
900,0.090520087048,0.0954593246448,0.095117001247,0.0940655793824
1000,0.0954104213023,0.100349658899,0.100007335501,0.0989559136367
1100,0.100300755557,0.105239993154,0.104897669756,0.103846247891
1200,0.105191089811,0.110130327408,0.10978800401,0.108736582145
1300,0.110081424065,0.115020661662,0.114678338264,0.1136269164
1400,0.11497175832,0.119910995917,0.119568672519,0.118517250654
1500,0.119862092574,0.124801330171,0.124459006773,0.123407584908
1600,0.124752426828,0.129691664425,0.129349341027,0.128297919163
1700,0.129642761083,0.13458199868,0.134239675282,0.133188253417
1800,0.134533095337,0.139472332934,0.139130009536,0.138078587671
1900,0.139423429591,0.144362667188,0.14402034379,0.142968921926
2000,0.144313763846,0.149253001443,0.148910678045,0.14785925618
2100,0.1492040981,0.154143335697,0.153801012299,0.152749590435
2200,0.154094432354,0.159033669951,0.158691346554,0.157639924689
2300,0.158984766609,0.163924004206,0.163581680808,0.162530258943
2400,0.163728390836,0.16881433846,0.168472015062,0.167420593198
2500,0.166173557963,0.173704672714,0.173362349317,0.172310927452
2600,0.16861872509,0.178595006969,0.1782282319,0.176589969924
2700,0.171063892217,0.181064625767,0.180673399027,0.179035137052
2800,0.173509059344,0.183509792894,0.183118566154,0.181480304179
2900,0.175954226471,0.185954960022,0.185563733281,0.183925471306
3000,0.178399393599,0.188400127149,0.188008900408,0.186370638433
3100,0.180844560726,0.190845294276,0.190454067536,0.18881580556
3200,0.183289727853,0.193290461403,0.192899234663,0.191260972687
3300,0.18573489498,0.19573562853,0.19534440179,0.193706139815
3400,0.188180062107,0.198180795657,0.197789568917,0.196151306942
3500,0.190625229234,0.200625962785,0.200234736044,0.198596474069
3600,0.193070396362,0.203071129912,0.202679903171,0.201041641196
3700,0.195515563489,0.205516297039,0.205125070299,0.203486808323
3800,0.197960730616,0.207961464166,0.207570237426,0.205931975451
3900,0.200405897743,0.210406631293,0.210015404553,0.208377142578
4000,0.20285106487,0.21285179842,0.21246057168,0.210822309705
4100,0.205296231997,0.215296965548,0.214905738807,0.213267476832
4200,0.207741399125,0.217742132675,0.217350905934,0.215712643959
4300,0.210186566252,0.220187299802,0.219796073062,0.218157811086
4400,0.212631733379,0.222632466929,0.222241240189,0.220602978214
4500,0.215076900506,0.225077634056,0.224686407316,0.223048145341
4600,0.217522067633,0.227522801183,0.227131574443,0.225493312468
4700,0.219967234761,0.229967968311,0.22957674157,0.227938479595
4800,0.222412401888,0.232413135438,0.232021908697,0.230383646722
4900,0.224857569015,0.234858302565,0.234467075825,0.232828813849
5000,0.227302736142,0.237303469692,0.236912242952,0.235273980977
5100,0.229747903269,0.239748636819,0.239357410079,0.237719148104
5200,0.232193070396,0.242193803947,0.241802577206,0.240164315231
5300,0.234638237524,0.244638971074,0.244247744333,0.242609482358
5400,0.237083404651,0.247084138201,0.246692911461,0.245054649485
5500,0.239528571778,0.249529305328,0.249138078588,0.247499816612
5600,0.241973738905,0.251974472455,0.251583245715,0.24994498374
5700,0.244418906032,0.254419639582,0.254028412842,0.252390150867
5800,0.246864073159,0.25686480671,0.256473579969,0.254835317994
5900,0.249309240287,0.259309973837,0.258918747096,0.257280485121
6000,0.251754407414,0.261755140964,0.261363914224,0.259725652248
6100,0.254199574541,0.264200308091,0.263809081351,0.262170819376
